Standard_Author	Preprints	Score	Rank
Alessandro Giuliani	2	4	10491
Alessandro Gozzi	1	2	17764
Alessandro Maccione	1	3	12013
Alessandro Poma	1	1	29388
Alessandro Principe	2	3	12013
Alessandro Quattrone	2	3	12013
Alessandro Romanel	2	3	12013
Alessandro Rotondo	1	2	17764
Alessandro Sanzeni	1	2	17764
Alessandro Tomassini	1	2	17764
Alessandro Torcini	4	6	3650
Alessandro Treves	1	1	29388
Alessandro Vercelli	1	3	12013
Alessandro Vespignani	1	1	29388
Alessandro Vullo	1	5	4631
Alessandro de Moura	1	5	4631
Alessia Annibale	1	3	12013
Alessia Cagnetti	1	2	17764
Alessia Candeo	1	2	17764
Alessia Di Donfrancesco	2	3	12013
Alessia Fiorentino	1	1	29388
Alessia Sarica	1	1	29388
Alessia Visconti	1	2	17764
Alessio Boattini	3	8	2314
Alessio Maiolica	1	3	12013
Alessio Monteleone	1	2	17764
Alessio Papini	1	3	12013
Alessio Squassina	1	2	17764
Alex Adai	1	5	4631
Alex Alderton	1	1	29388
Alex Anderson	1	1	29388
Alex Andrianopoulos	1	3	12013
Alex Appert	1	5	4631
Alex Arenas	1	1	29388
Alex Bateman	2	6	3650
Alex Bisberg	1	2	17764
Alex Bishara	1	2	17764
Alex Bloemendal	2	7	2850
Alex Bortvin	1	1	29388
Alex Brandmeyer	2	3	12013
Alex Bravo	1	2	17764
Alex Cagan	1	1	29388
Alex Cammack	1	1	29388
Alex Cayco-Gajic	1	5	4631
Alex Crump	2	4	10491
Alex Dittrich	1	5	4631
Alex Dobin	1	3	12013
Alex Escuredo	1	1	29388
Alex Fedorec	1	1	29388
Alex Finnegan	1	3	12013
Alex Flynt	1	1	29388
Alex Fornito	2	5	4631
Alex Frase	1	5	4631
Alex Gavryushkin	1	3	12013
Alex Gomez-Marin	6	14	767
Alex Graudenzi	7	7	2850
Alex Greninger	3	10	1419
Alex Groisman	2	6	3650
Alex Gunderson	1	2	17764
Alex Gutteridge	1	1	29388
Alex Harkess	1	3	12013
Alex Hastie	6	17	473
Alex Hebert	1	2	17764
Alex Henderson	1	3	12013
Alex Hewitt	4	15	603
Alex Hoffmaster	1	2	17764
Alex Hubbe	1	3	12013
Alex Kalinka	2	4	10491
Alex Kentsis	8	15	603
Alex Klassmann	1	3	12013
Alex Koelewijn	1	2	17764
Alex Kraaijeveld	1	2	17764
Alex Kuzevski	1	5	4631
Alex Lang	2	4	10491
Alex Lash	2	5	4631
Alex Levine	1	1	29388
Alex Lobora	1	1	29388
Alex Lubwama	1	1	29388
Alex Magee	1	3	12013
Alex Mogilner	1	2	17764
Alex Nord	1	2	17764
Alex Pagnozzi	1	2	17764
Alex Patto	1	2	17764
Alex Perkins	3	6	3650
Alex Plocik	1	3	12013
Alex Pollen	1	1	29388
Alex Porter	1	2	17764
Alex Reiner	1	3	12013
Alex Robertson	1	3	12013
Alex Roxin	4	16	532
Alex Rubinsteyn	1	5	4631
Alex Santos	1	5	4631
Alex Seeholzer	1	3	12013
Alex Serrano	1	2	17764
Alex Settle	1	2	17764
Alex Shalek	1	2	17764
Alex Shayo	1	2	17764
Alex Stark	1	2	17764
Alex Stram	1	1	29388
Alex Szalay	1	2	17764
Alex Tamburino	1	3	12013
Alex Tumukunde	1	1	29388
Alex Vaz	1	2	17764
Alex Wagner	2	8	2314
Alex Washburne	3	8	2314
Alex Whitebirch	1	2	17764
Alex Williams	2	10	1419
Alex Wilson	1	2	17764
Alex Wright	1	1	29388
Alex Zelikovsky	3	4	10491
Alex Zhavoronkov	3	11	1203
Alexa Burger	3	8	2314
Alexa McIntyre	2	4	10491
Alexander Aliper	2	6	3650
Alexander Allen	1	1	29388
Alexander Anderson	15	42	42
Alexander Antipenko	1	2	17764
Alexander Artyomenko	1	1	29388
Alexander Baras	1	3	12013
Alexander Bird	1	1	29388
Alexander Bizer	1	2	17764
Alexander Bolshoy	1	2	17764
Alexander Borowsky	1	2	17764
Alexander Botzki	1	1	29388
Alexander Boulgakov	1	2	17764
Alexander Bowe	1	1	29388
Alexander Bowring	1	5	4631
Alexander Bradley	3	9	2005
Alexander Brandt	1	2	17764
Alexander Bucksch	1	3	12013
Alexander Burns	1	2	17764
Alexander Cagan	1	2	17764
Alexander Chepesiuk	1	1	29388
Alexander Chou	1	3	12013
Alexander Chouker	1	1	29388
Alexander Coombes	1	5	4631
Alexander Crits-Christoph	2	6	3650
Alexander Demin	1	2	17764
Alexander Dilthey	6	11	1203
Alexander Dobin	2	6	3650
Alexander Dobrovic	1	5	4631
Alexander Dunn	1	3	12013
Alexander Duthie	1	2	17764
Alexander Ecker	3	9	2005
Alexander Eiler	3	6	3650
Alexander Engelhardt	1	5	4631
Alexander Esther	1	2	17764
Alexander Favorov	4	11	1203
Alexander Fletcher	18	56	12
Alexander Franks	3	5	4631
Alexander French	1	1	29388
Alexander Gabel	2	6	3650
Alexander Gheldof	1	2	17764
Alexander Goesmann	1	2	17764
Alexander Gosdschan	1	2	17764
Alexander Gout	1	1	29388
Alexander Green	1	1	29388
Alexander Greninger	6	17	473
Alexander Gusev	18	39	56
Alexander Hall	1	2	17764
Alexander Hartemink	3	4	10491
Alexander Hartmann	1	2	17764
Alexander Heitman	1	1	29388
Alexander Herbig	7	23	227
Alexander Hoischen	1	1	29388
Alexander Holloway	1	3	12013
Alexander Hopkins	1	1	29388
Alexander Hubner	1	2	17764
Alexander Huebner	1	1	29388
Alexander Immel	2	2	17764
Alexander Ing	1	2	17764
Alexander Ivey	1	5	4631
Alexander Johnston	1	1	29388
Alexander Jones	1	5	4631
Alexander Kintzer	1	2	17764
Alexander Kirschner	1	2	17764
Alexander Klassmann	2	4	10491
Alexander Konovalov	1	5	4631
Alexander Kots	1	1	29388
Alexander Kraev	1	2	17764
Alexander Krasnitz	2	3	12013
Alexander Kubisch	2	10	1419
Alexander Law	1	2	17764
Alexander Leemans	1	1	29388
Alexander Leitner	1	2	17764
Alexander Lex	2	5	4631
Alexander Lin	1	3	12013
Alexander Lipka	2	3	12013
Alexander Loewer	1	2	17764
Alexander Lopez	1	2	17764
Alexander Loy	1	2	17764
Alexander Marson	2	2	17764
Alexander Martynov	1	1	29388
Alexander Mathis	2	4	10491
Alexander Mazein	1	5	4631
Alexander Mazur	2	4	10491
Alexander McVey	2	5	4631
Alexander Meissner	1	1	29388
Alexander Mentink	1	2	17764
Alexander Mikheyev	1	3	12013
Alexander Morozov	1	5	4631
Alexander Myrka	1	5	4631
Alexander Nederbragt	5	11	1203
Alexander Nesmelov	1	2	17764
Alexander Opitz	2	4	10491
Alexander Palazzo	1	3	12013
Alexander Panchenko	1	5	4631
Alexander Papadopulos	1	3	12013
Alexander Paraskevov	1	1	29388
Alexander Pavlov	1	1	29388
Alexander Peltzer	1	1	29388
Alexander Penson	1	5	4631
Alexander Petrov	1	1	29388
Alexander Pinkowski	1	2	17764
Alexander Platt	1	1	29388
Alexander Platzer	1	1	29388
Alexander Poliakov	1	5	4631
Alexander Polyakov	1	1	29388
Alexander Polyzos	1	2	17764
Alexander Pozhitkov	3	3	12013
Alexander Predeus	1	5	4631
Alexander Probst	1	2	17764
Alexander Purdy	1	2	17764
Alexander Ratushny	2	6	3650
Alexander Richards	1	2	17764
Alexander Rosenberg	1	1	29388
Alexander Rubinsteyn	1	5	4631
Alexander ST Papadopulos	1	3	12013
Alexander Sack	1	3	12013
Alexander Samsonov	1	1	29388
Alexander Scheuerlein	1	2	17764
Alexander Schier	2	3	12013
Alexander Schliep	1	3	12013
Alexander Schmidt	1	5	4631
Alexander Schoenhuth	5	14	767
Alexander Schug	1	2	17764
Alexander Sczyrba	2	7	2850
Alexander Seitz	1	1	29388
Alexander Shanku	1	5	4631
Alexander Sher	2	2	17764
Alexander Shishkin	1	3	12013
Alexander Skupin	2	7	2850
Alexander Song	1	1	29388
Alexander Stark	1	1	29388
Alexander Stegmann	1	2	17764
Alexander Stubbs	1	2	17764
Alexander Suh	2	7	2850
Alexander Teumer	2	3	12013
Alexander Thiele	1	2	17764
Alexander Titus	1	2	17764
Alexander Tolpygo	1	1	29388
Alexander Tyakht	2	7	2850
Alexander Ulyanov	1	2	17764
Alexander Vaughan	1	5	4631
Alexander Waite	1	5	4631
Alexander Walther	3	7	2850
Alexander Webb	1	2	17764
Alexander Weigand	1	1	29388
Alexander Weiss	1	2	17764
Alexander Wittenberg	2	3	12013
Alexander Woglar	1	2	17764
Alexander Wolfe	1	2	17764
Alexander Wong	1	1	29388
Alexander Xue	1	2	17764
Alexander Young	1	1	29388
Alexander Zahara	1	2	17764
Alexander Zaranek	2	6	3650
Alexander Zizka	2	5	4631
Alexander Zwart	1	2	17764
Alexander de Luna	1	2	17764
Alexander van Oudenaarden	4	6	3650
Alexandr Dyomin	1	2	17764
Alexandr Tetearing	3	5	4631
Alexandra Afenjar	1	5	4631
Alexandra Anders	1	3	12013
Alexandra Asaro	1	2	17764
Alexandra Auguste	1	2	17764
Alexandra Brown	1	5	4631
Alexandra Buckley	1	2	17764
Alexandra Buffry	1	3	12013
Alexandra Burgess	1	3	12013
Alexandra Calteau	1	2	17764
Alexandra Cantley	1	5	4631
Alexandra Casparino	1	5	4631
Alexandra Castro-Bugallo	1	2	17764
Alexandra Charen	1	5	4631
Alexandra Chatzikalymniou	1	3	12013
Alexandra Deyonke	1	1	29388
Alexandra Ereskovsky	1	5	4631
Alexandra Erwin	1	5	4631
Alexandra Fish	2	4	10491
Alexandra Fridkin	1	1	29388
Alexandra Gerber	1	1	29388
Alexandra Gonzales	2	3	12013
Alexandra Jones	2	4	10491
Alexandra Kalantzi	1	3	12013
Alexandra Krugliak	2	5	4631
Alexandra Long	1	1	29388
Alexandra Maertens	1	2	17764
Alexandra Magro	1	1	29388
Alexandra McCully	1	1	29388
Alexandra Merry	1	2	17764
Alexandra Moyzis	1	2	17764
Alexandra Nica	1	2	17764
Alexandra Pavlova	2	4	10491
Alexandra Pender	1	2	17764
Alexandra Pike	1	3	12013
Alexandra Popa	1	3	12013
Alexandra Sapetschnig	1	5	4631
Alexandra Schambony	1	1	29388
Alexandra Schosser	1	2	17764
Alexandra Scott	2	4	10491
Alexandra Sexton-Oates	1	3	12013
Alexandra Snyder	2	10	1419
Alexandra Sockell	1	2	17764
Alexandra Stolz	1	2	17764
Alexandra Swanson	1	5	4631
Alexandra Touroutoglou	1	2	17764
Alexandra Vatsiou	1	2	17764
Alexandra Walls	1	3	12013
Alexandra Weber	2	7	2850
Alexandra Weigelt	1	2	17764
Alexandra Westbrook	1	2	17764
Alexandra Whale	1	2	17764
Alexandra Zhernakova	3	6	3650
Alexandra-Chloe Villani	1	5	4631
Alexandre Abraham	2	6	3650
Alexandre Alcais	1	2	17764
Alexandre Aleixo	1	1	29388
Alexandre Antonelli	3	6	3650
Alexandre Bolze	1	2	17764
Alexandre Bonaldo	1	2	17764
Alexandre Bonvin	1	1	29388
Alexandre Breuze	1	5	4631
Alexandre Chieppe	1	5	4631
Alexandre Courtiol	1	2	17764
Alexandre Dawid	1	2	17764
Alexandre Dayer	1	2	17764
Alexandre Dehne-Garcia	1	2	17764
Alexandre Drouin	1	2	17764
Alexandre Evrard	2	6	3650
Alexandre Filho	1	3	12013
Alexandre Fort	1	1	29388
Alexandre Gouy	1	2	17764
Alexandre Gramfort	1	5	4631
Alexandre HYAFIL	1	3	12013
Alexandre Jaouen	1	1	29388
Alexandre Kabla	4	7	2850
Alexandre Kanas	1	1	29388
Alexandre Loucif	1	1	29388
Alexandre Martins	1	3	12013
Alexandre Masselot	1	5	4631
Alexandre Mathieu	1	5	4631
Alexandre Melnikov	2	4	10491
Alexandre Morozov	5	11	1203
Alexandre Orthwein	1	2	17764
Alexandre Paix	1	2	17764
Alexandre Perera	1	3	12013
Alexandre Pouget	1	5	4631
Alexandre Queiroga	1	2	17764
Alexandre Ramos	2	3	12013
Alexandre Ribeiro	1	1	29388
Alexandre Robert	1	1	29388
Alexandre Robert-Seilaniantz	1	2	17764
Alexandre Roland	2	5	4631
Alexandre Salvador	1	2	17764
Alexandre Santos	1	1	29388
Alexandre Urzhumtsev	2	10	1419
Alexandre Vakurov	1	3	12013
Alexandre Vong	1	2	17764
Alexandre YAHI	1	5	4631
Alexandre Yahi	1	2	17764
Alexandro Rodriguez-Rojas	3	7	2850
Alexandros Bousios	1	2	17764
Alexandros Goulas	3	3	12013
Alexandros Kanellopoulos	1	1	29388
Alexandros Kannelopoulos	1	1	29388
Alexandros Pittis	1	2	17764
Alexandros Stamatakis	11	32	101
Alexandru Andrei	1	2	17764
Alexandru Ecovoiu	2	3	12013
Alexandru Hanganu	2	10	1419
Alexandru Hening	1	1	29388
Alexandru Milcu	3	6	3650
Alexandru Tomescu	1	2	17764
Alexei Dondua	1	2	17764
Alexei Drobyshev	1	2	17764
Alexei Drummond	2	6	3650
Alexei Korennykh	1	3	12013
Alexei Koulakov	1	1	29388
Alexei Ossadtchi	1	5	4631
Alexei Protopopov	1	1	29388
Alexei Vazquez	1	5	4631
Alexei Vyssotski	1	2	17764
Alexendar Perez	1	5	4631
Alexey Alekhin	1	3	12013
Alexey Chernobrovkin	1	5	4631
Alexey Gorbachev	1	1	29388
Alexey Gorin	1	2	17764
Alexey Gurevich	1	5	4631
Alexey Kondrashov	1	2	17764
Alexey Kozlov	2	6	3650
Alexey Kuznetsov	2	3	12013
Alexey Merz	1	3	12013
Alexey Nesvizhskii	1	2	17764
Alexey Neverov	1	5	4631
Alexey Sergushichev	2	10	1419
Alexey Shadrin	1	5	4631
Alexey Vedernikov	1	1	29388
Alexey Yanchukov	1	2	17764
Alexi Runnels	1	1	29388
Alexia Phedonos	1	1	29388
Alexia Rohmer	1	5	4631
Alexias Safi	1	2	17764
Alexie Papanicolaou	1	1	29388
Alexis Akeyson	1	5	4631
Alexis Arizpe	1	5	4631
Alexis Battle	9	17	473
Alexis Boucharin	1	1	29388
Alexis Carlson	1	2	17764
Alexis Chaine	1	1	29388
Alexis Criscuolo	1	1	29388
Alexis Duncan	1	3	12013
Alexis Duringer	1	2	17764
Alexis Hubaud	1	1	29388
Alexis Lieval	1	5	4631
Alexis Maizel	3	7	2850
Alexis Norris	2	2	17764
Alexis Nzila	1	2	17764
Alexis Ribas	1	1	29388
Alexis Robert	1	5	4631
Alexis Rohou	2	3	12013
Alexis Sullivan	2	4	10491
Alexis Turjman	1	1	29388
Alexis Vandenbon	1	2	17764
Alexsandra Dain	1	2	17764
Alf Gerisch	1	2	17764
Alf Hamann	1	2	17764
Alfons Renz	1	3	12013
Alfonso Araque	1	1	29388
Alfonso Arias	8	33	96
Alfonso Benitez-Paez	3	6	3650
Alfonso Buil	6	16	532
Alfonso Caramazza	2	4	10491
Alfonso Davila	1	3	12013
Alfonso Jaramillo	4	5	4631
Alfonso Mendez	1	3	12013
Alfonso Perez-Escudero	2	2	17764
Alfonso Rodriguez-Paton	3	5	4631
Alfonso Timoneda	1	3	12013
Alfonso Timoneda-Monfort	1	3	12013
Alfonso Tortorella	2	4	10491
Alfonso Valencia	6	16	532
Alfred Amambua-Ngwa	1	2	17764
Alfred Blaschke	1	2	17764
Alfred Chan	1	5	4631
Alfred Crosby	1	5	4631
Alfred Dixon	1	2	17764
Alfred Game	1	5	4631
Alfred Ozimati	1	3	12013
Alfredo Cascante-Marin	2	4	10491
Alfredo Fontanini	1	1	29388
Alfredo Lopez	1	2	17764
Alfredo Mari	1	2	17764
Alfredo Morales	2	5	4631
Alfredo Ortega-Alonso	1	2	17764
Alfredo Quinones-Hinojosa	1	3	12013
Alfredo Sanchez-Tojar	1	2	17764
Alfredo Tello	1	2	17764
Ali Afshar	1	1	29388
Ali Akbari	2	8	2314
Ali Al-Meeri	1	2	17764
Ali Ali	1	2	17764
Ali Aliyari	1	2	17764
Ali Arab	1	2	17764
Ali Awan	1	2	17764
Ali Bashashati	1	1	29388
Ali Bashir	1	5	4631
Ali Cetin	1	3	12013
Ali Ebrahim	2	6	3650
Ali Esmailizadeh	1	1	29388
Ali Fotouhi	1	2	17764
Ali Ghaffaari	1	1	29388
Ali Gharavi	1	2	17764
Ali Ghazizadeh	1	2	17764
Ali Hassanali	1	3	12013
Ali Khan	1	1	29388
Ali Khani	1	1	29388
Ali Kinkhabwala	1	5	4631
Ali Mazaheri	1	1	29388
Ali Mortazavi	1	1	29388
Ali Mosammam	1	1	29388
Ali Moshrefi	1	5	4631
Ali Nematbakhsh	1	1	29388
Ali Olama	1	1	29388
Ali Pourfathollah	1	2	17764
Ali Shirayeh	1	3	12013
Ali Torkamani	5	13	865
Alia Lemkaddem	1	1	29388
Aliaksei Holik	1	5	4631
Alican Gumurdu	1	1	29388
Alice Carter	1	5	4631
Alice Chan	1	1	29388
Alice Clayton	1	2	17764
Alice Coucke	2	5	4631
Alice Davy	1	1	29388
Alice Donati	1	2	17764
Alice Douangamath	1	2	17764
Alice French	1	2	17764
Alice Guidot	1	1	29388
Alice Hooper	1	2	17764
Alice Leclercq-Blondel	1	2	17764
Alice Ledda	1	3	12013
Alice Lyons	1	5	4631
Alice Mann	2	8	2314
Alice McHardy	7	24	203
Alice Moussy	1	2	17764
Alice Parodi	1	2	17764
Alice Pebay	2	7	2850
Alice Tarantal	1	3	12013
Alice Thackray	1	3	12013
Alice Vrielink	1	5	4631
Alice Wang	1	3	12013
Alice Wattam	1	2	17764
Alice Wells	1	2	17764
Alice Young	1	2	17764
Alicia Alonso	1	5	4631
Alicia Amadoz	1	3	12013
Alicia Carriquiry	1	2	17764
Alicia Clum	3	9	2005
Alicia Hawes	1	2	17764
Alicia Martin	5	11	1203
Alicia Martinez-Gonzalez	1	1	29388
Alicia McMurchy	1	5	4631
Alicia Moreno-Cortes	1	1	29388
Alicia Oshlack	8	18	415
Alicia Raya	1	5	4631
Alicia Rosello	1	5	4631
Alicia Rubio	1	1	29388
Alicia Schep	4	14	767
Alicia Schwieterman	1	2	17764
Alicia Toh	1	5	4631
Alicia Tran-Dien	1	2	17764
Alicia Zelada	1	2	17764
Alicja Santos	1	1	29388
Alicja Szabelska	1	2	17764
Alicja Tadych	1	2	17764
Alina Akhunova	1	1	29388
Alina Aleshchenko	3	3	12013
Alina Ashba	1	5	4631
Alina Chiriac	1	1	29388
Alina Frolova	4	12	1012
Alina Liberman	1	2	17764
Alina Nalyvayko	1	5	4631
Alina Nguyen	1	3	12013
Alina Ott	1	2	17764
Alina Peter	1	1	29388
Alinde Fojtik	1	2	17764
Aline Lee	1	2	17764
Aline Lefebvre	1	2	17764
Aline Muyle	2	3	12013
Aliou Sow	2	3	12013
Alipasha Vaziri	1	1	29388
Alireza Gholami	1	1	29388
Alireza Kashani	1	1	29388
Alireza Soltani	2	2	17764
Alisa Sedghifar	2	8	2314
Alisdair Fernie	1	1	29388
Alisha Holloway	1	2	17764
Alisha Marti	1	1	29388
Alisha McLachlan	1	3	12013
Alison Axtman	2	7	2850
Alison Beckett	1	5	4631
Alison Bernstein	1	1	29388
Alison Buchan	2	10	1419
Alison Cameron	1	1	29388
Alison Cloutier	2	2	17764
Alison Conquest	1	2	17764
Alison Crowther	1	1	29388
Alison Devault	1	3	12013
Alison Devonshire	1	2	17764
Alison Dunning	1	2	17764
Alison Etheridge	2	7	2850
Alison Feder	3	7	2850
Alison Foster	1	3	12013
Alison Galloway	1	1	29388
Alison Galvani	1	1	29388
Alison Goate	2	6	3650
Alison Hardcastle	1	1	29388
Alison Hill	3	6	3650
Alison Isaacs	1	5	4631
Alison Klein	1	2	17764
Alison Kraus	1	3	12013
Alison Male	1	3	12013
Alison Mather	1	3	12013
Alison McAfee	1	1	29388
Alison Murray	2	3	12013
Alison Pattie	1	1	29388
Alison Pischedda	1	5	4631
Alison Preston	2	2	17764
Alison Ringel	1	2	17764
Alison Ross	1	3	12013
Alison Scalora	1	2	17764
Alison Scott	1	1	29388
Alison Simmons	2	4	10491
Alison Smith	1	5	4631
Alison Tang	1	3	12013
Alison Vaughan	1	5	4631
Alissa Magwood	2	2	17764
Alissa Mittnik	4	11	1203
Alisson Gontijo	1	1	29388
Alistair Auffret	1	2	17764
Alistair Brock	1	3	12013
Alistair Chenery	2	7	2850
Alistair Forrest	3	7	2850
Alistair Legione	1	2	17764
Alistair McGregor	1	3	12013
Alistair Merrifield	1	2	17764
Alistair Miles	3	9	2005
Alister Craig	1	2	17764
Alita Burmeister	2	2	17764
Alix Noly-Gandon	1	2	17764
Aliyah Debbonaire	1	1	29388
Aliye Oztan	1	1	29388
Aliz Rao	1	2	17764
Alka Saxena	1	2	17764
Alkananda Das	1	2	17764
Alkes Price	34	70	5
Alla Brodski-Guerniero	1	1	29388
Alla Lapidus	1	1	29388
Alla Yemets	1	1	29388
Allain-Thibeault FERHAT	1	1	29388
Allal Douira	1	1	29388
Allan Baker	1	1	29388
Allan Barnes	1	1	29388
Allan Brown	1	1	29388
Allan Chang	1	5	4631
Allan Haldane	1	1	29388
Allan James	1	3	12013
Allan Kaplan	1	2	17764
Allan McRae	1	1	29388
Allan Motyer	2	3	12013
Allan Strand	1	1	29388
Allan Wong	1	5	4631
Allen Bateman	1	3	12013
Allen Chen	1	1	29388
Allen Collins	1	2	17764
Allen Espinosa	1	2	17764
Allen Gibbs	2	2	17764
Allen Hubbard	1	2	17764
Allen Leary	1	3	12013
Allen Moore	4	16	532
Allen Tannenbaum	4	8	2314
Allen Yi	1	1	29388
Allison Bialas	1	5	4631
Allison Black	3	12	1012
Allison Daley	1	5	4631
Allison Ebert	1	2	17764
Allison Fenichel	1	5	4631
Allison Furterer	1	1	29388
Allison Hodge	1	1	29388
Allison Izsak	1	5	4631
Allison Jackson	1	2	17764
Allison Lake	1	3	12013
Allison Mallory	1	2	17764
Allison Matthews	1	1	29388
Allison Miller	1	2	17764
Allison Quan	1	5	4631
Allison Richards	2	3	12013
Allison Scalora	3	5	4631
Allison Sharrar	1	2	17764
Allison Shaw	1	1	29388
Allison Suarez	1	1	29388
Allison Wallingford	1	1	29388
Allison Weakley	1	5	4631
Allison Zwarycz	1	1	29388
Allissa Dillman	1	5	4631
Allon Klein	1	1	29388
Ally Yang	1	2	17764
Allyn Londregan	1	1	29388
Alma Dal Co	1	5	4631
Alok Mitra	1	1	29388
Alok Upadhyay	1	1	29388
Alon Goren	1	2	17764
Alon Keinan	7	14	767
Alon Philosof	1	1	29388
Alon Titelman	1	1	29388
Alona Fyshe	1	2	17764
Alona Kryshchenko	1	2	17764
Alonso Higuero	1	2	17764
Alonso-Crisostomo Luz	1	5	4631
Alpan Raval	1	3	12013
Alper Akay	2	7	2850
Alphaxard Manjurano	2	4	10491
Alphonse Taghian	1	5	4631
Alsamman Alsamman	1	2	17764
Alsu Saifitdinova	2	4	10491
Althea Cavanaugh	1	2	17764
Alton Williams	1	2	17764
Altuna Akalin	1	2	17764
Aluisio Segurado	1	5	4631
Alun Jones	1	1	29388
Alun Passey	1	1	29388
Alun Thomas	1	2	17764
Alva Strand	1	2	17764
Alvaro Barbeira	2	10	1419
Alvaro Cabrera	1	1	29388
Alvaro Chiner-Oms	1	2	17764
Alvaro Crevenna	1	5	4631
Alvaro Fajardo	1	2	17764
Alvaro Hernandez	1	2	17764
Alvaro Mayorga	1	2	17764
Alvaro Monteiro	1	3	12013
Alvaro Montiero	1	5	4631
Alvaro Pascual-Leone	1	2	17764
Alvaro Rubio-Largo	1	2	17764
Alvaro Sanchez	2	7	2850
Alvin Makohon-Moore	1	2	17764
Alvin Shi	1	5	4631
Alvina Lai	3	5	4631
Alvis Brazma	5	15	603
Aly Baumgartner	1	3	12013
Alycia Kowalski	1	2	17764
Alyn Walsh	1	1	29388
Alys Jarvela	1	1	29388
Alyse Steves	1	2	17764
Alysha Elliott	2	4	10491
Alysha de Livera	1	5	4631
Alyssa Bagadion	1	1	29388
Alyssa Barry	3	6	3650
Alyssa Boasso	2	3	12013
Alyssa Browning	1	3	12013
Alyssa Carey	1	3	12013
Alyssa Cirtwill	2	10	1419
Alyssa Frazee	3	15	603
Alyssa Giannone	1	5	4631
Alyssa Miller	2	6	3650
Alyssa Pontes	1	2	17764
Alyssa Sawyer	1	1	29388
Alysson Muotri	1	2	17764
Amadis Pages	5	22	256
Amadou Sall	6	15	603
Amal Aabidine	1	3	12013
Amal Harrati	1	2	17764
Amalia Herrera-Cubilla	1	3	12013
Amalia McDonald	1	5	4631
Amalia Pasolli	1	2	17764
Amalio Telenti	7	18	415
Aman Gupta	1	1	29388
Aman Prasad	1	2	17764
Aman Saleem	1	2	17764
AmanPreet Badhwar	3	12	1012
Amanda Adler	2	5	4631
Amanda Andersson-Rolf	1	1	29388
Amanda Bender	1	5	4631
Amanda Blythe	1	5	4631
Amanda Broz	1	2	17764
Amanda Buch	1	1	29388
Amanda Castro	1	5	4631
Amanda Chunco	1	3	12013
Amanda Clare	2	10	1419
Amanda Collins	1	3	12013
Amanda Davis	1	2	17764
Amanda DelVecchia	1	1	29388
Amanda Demeter	1	1	29388
Amanda Fosang	1	1	29388
Amanda Foust	4	10	1419
Amanda He	1	1	29388
Amanda Hopes	1	5	4631
Amanda Hughes	2	8	2314
Amanda Kenney	2	7	2850
Amanda Larracuente	2	4	10491
Amanda Lavelle	1	5	4631
Amanda Lea	2	5	4631
Amanda Mah	1	1	29388
Amanda McMurray	1	3	12013
Amanda Miguel	1	2	17764
Amanda Muehlbauer	1	2	17764
Amanda Northrop	1	1	29388
Amanda Nouwens	1	1	29388
Amanda Ochoa-Espinosa	1	1	29388
Amanda Pendleton	2	7	2850
Amanda Pickard	1	1	29388
Amanda Posto	2	3	12013
Amanda Shalkhauser	1	5	4631
Amanda Shaver	1	2	17764
Amanda Smith	1	2	17764
Amanda Spurdle	2	3	12013
Amanda Stahlke	1	1	29388
Amanda Tan	3	6	3650
Amanda Verpoorte	1	1	29388
Amanda Vinson	1	1	29388
Amanda Ward	1	3	12013
Amanda Waters	1	5	4631
Amanda Watts	1	2	17764
Amanda Zheutlin	1	2	17764
Amandine Crabos	1	1	29388
Amandine Hansart	1	2	17764
Amandine Pitaval	1	2	17764
Amandine Rey	1	2	17764
Amandine Veber	1	2	17764
Amar Koleti	1	1	29388
Amardeep Kaur	1	3	12013
Amarjit Bhomra	1	2	17764
Amartya Singh	1	3	12013
Amaury Hayat	1	2	17764
Amaury Lambert	3	12	1012
Amayra Hernandez-Vega	2	5	4631
Amber Alsop	1	2	17764
Amber Makowicz	2	5	4631
Amber Paasch	1	2	17764
Amber Ruigrok	2	4	10491
Amber Smith	1	2	17764
Amber Wright	1	2	17764
Ambika Kamath	1	3	12013
Ambreen Kalhoro	1	1	29388
Ambroise Dalecky	3	4	10491
Ambroise Desfosses	1	1	29388
Ambrose Carr	1	2	17764
Amee Manges	1	5	4631
Amel Salhi-Hannachi	1	1	29388
Amelia Charbonneau	1	2	17764
Amelia Clayshulte	1	3	12013
Amelia Harrison	1	5	4631
Amelia Hubbard	1	1	29388
Amelia Shirtz	1	1	29388
Amelia Wenger	1	5	4631
Amelia White	1	1	29388
Amelie Fradet-Turcotte	1	2	17764
Amelie Gildemyn-Blomme	1	2	17764
Amelie Pandraud	1	2	17764
Amelie Scheu	3	6	3650
Amelie Vantaux	1	1	29388
Amena Nabih	1	5	4631
Amer Al-Khatib	1	1	29388
Amgad Saleh	1	2	17764
Ami Bhatt	1	1	29388
Ami Ito	1	1	29388
Ami Levy-Moonshine	1	1	29388
Ami Moonshine	1	3	12013
Ami Perri	2	4	10491
Ami Shah	1	2	17764
Amie Radenbaugh	1	5	4631
Amilcar Tanuri	2	2	17764
Amin Borujeni	1	2	17764
Amin Emad	1	1	29388
Amin Gholami	1	3	12013
Amin Mahpour	1	3	12013
Amin Mazloom	1	1	29388
Amina Noor	1	2	17764
Amina Qutub	2	3	12013
Amir Amedi	1	3	12013
Amir Bashan	1	1	29388
